JURISDICTION_ID,STATION_ID,modeOriginal,mode,station_link,existing_housing_units,baseline_under_zoning,plexify_reform,multiply_reform,legalize_reform,middle_reform,all_reforms,lat,long,grade,status,year_open,name,line
G53057535,S3565557046,Bus Rapid Transit,Rapid Transit,152-RapidRide B-Bus Rapid Transit-existing,0,6768,6768,6768,6768,6768,6768,-122.1375,47.64599,at grade,existing,2011,152,RapidRide B
G53045865,S58237660,Bus Rapid Transit,Rapid Transit,153rd Street-Swift Green Line-Bus Rapid Transit-existing,580,1387,1703,1656,1387,3097,3413,-122.219,47.85922,at grade,existing,2019,153rd Street,Swift Green Line
G53057535,S3565558960,Bus Rapid Transit,Rapid Transit,154-RapidRide B-Bus Rapid Transit-existing,1,1049,1049,1329,1049,1049,1329,-122.13459,47.68223,at grade,existing,2011,154,RapidRide B
G53037270,S2966119572,Bus Rapid Transit,Rapid Transit,155 Street-Stride S3-Bus Rapid Transit-planned,1796,2358,5055,3226,2358,2634,6078,-122.28835,47.74107,at grade,planned,,155 Street,Stride S3
G53045865,S53287922,Bus Rapid Transit,Rapid Transit,164th Street-Swift Green Line-Bus Rapid Transit-existing,533,1201,1216,1933,1201,3002,3017,-122.2175,47.84952,at grade,existing,2019,164th Street,Swift Green Line
G53037270,S2966119671,Bus Rapid Transit,Rapid Transit,165 Street-Stride S3-Bus Rapid Transit-planned,854,861,3394,873,861,913,3446,-122.28483,47.74827,at grade,planned,,165 Street,Stride S3
G53040840,S3005278836,Bus Rapid Transit,Rapid Transit,176th Street-Swift Blue Line-Bus Rapid Transit-existing,1478,1985,4190,2553,1985,4318,6523,-122.29957,47.8392,at grade,existing,2009,176th Street,Swift Blue Line
G53063000,S910411891,Bus Rapid Transit,Rapid Transit,17th Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,18891,32782,33051,48501,32782,35166,49686,-122.31015,47.61561,at grade,proposed,,17th Avenue,Madison RapidRide G
G53007380,S2966127292,Bus Rapid Transit,Rapid Transit,180 Street-Stride S3-Bus Rapid Transit-planned,2447,5625,6677,9115,5625,5625,10167,-122.21092,47.75824,at grade,planned,,180 Street,Stride S3
G53057745,S863114254,Arterial Rapid Transit,Rapid Transit,182 Street-RapidRide I-Arterial Rapid Transit-planned,985,989,3392,989,989,989,3392,-122.19695,47.43988,at grade,planned,,182 Street,RapidRide I
G53057745,S863109898,Arterial Rapid Transit,Rapid Transit,186 Street-RapidRide I-Arterial Rapid Transit-planned,1423,1468,3975,1525,1468,1534,4041,-122.19704,47.43651,at grade,planned,,186 Street,RapidRide I
G53057745,S863114287,Arterial Rapid Transit,Rapid Transit,192 Street-RapidRide I-Arterial Rapid Transit-planned,1273,5894,7589,10575,5894,7194,12969,-122.19704,47.43029,at grade,planned,,192 Street,RapidRide I
G53040840,S1541838909,Arterial Rapid Transit,Rapid Transit,196 Street-Swift Orange Line-Arterial Rapid Transit-uc,827,1249,2665,1261,1385,2365,3917,-122.31536,47.82118,at grade,uc,,196 Street,Swift Orange Line
G53063000,S2896125354,Streetcar,Streetcar,1st & Cherry-Columbia/Pioneer Square-Center City Connector-Streetcar-proposed,9063,14947,14947,20874,14947,14947,20874,-122.3345,47.60283,at grade,proposed,,1st & Cherry-Columbia/Pioneer Square,Center City Connector
G53063000,S2093085291,Streetcar,Streetcar,1st & Madison/Spring-Center City Connector-Streetcar-proposed,17705,23498,23498,30492,23498,23498,30492,-122.33655,47.60504,at grade,proposed,,1st & Madison/Spring,Center City Connector
G53063000,S3566781324,Streetcar,Streetcar,1st & Pike/Pine-Center City Connector-Streetcar-proposed,60376,70953,70953,93254,70953,70953,93254,-122.34046,47.60931,at grade,proposed,,1st & Pike/Pine,Center City Connector
G53008850,S1888060521,Bus Rapid Transit,Rapid Transit,2 Avenue S-RapidRide F-Bus Rapid Transit-existing,4007,4500,4824,4792,4500,5240,5688,-122.33039,47.46328,at grade,existing,2014,2 Avenue S,RapidRide F
G53057745,S863111815,Arterial Rapid Transit,Rapid Transit,200 Street-RapidRide I-Arterial Rapid Transit-planned,1158,1245,3082,1393,1245,1935,3772,-122.19706,47.42314,at grade,planned,,200 Street,RapidRide I
G53040840,S3005276498,Bus Rapid Transit,Rapid Transit,204th Street-Swift Blue Line-Bus Rapid Transit-existing,1401,1596,2340,2017,1596,2667,3620,-122.32108,47.81402,at grade,existing,2009,204th Street,Swift Blue Line
G53035415,S863120527,Arterial Rapid Transit,Rapid Transit,208 Street-RapidRide I-Arterial Rapid Transit-planned,1791,2970,4505,4622,2970,5273,7308,-122.19706,47.41583,at grade,planned,,208 Street,RapidRide I
G53063000,S221290123,Bus Rapid Transit,Rapid Transit,20th Avenue-RapidRide H-Bus Rapid Transit-proposed,1898,3646,4519,6036,3646,7687,9991,-122.35921,47.51735,at grade,proposed,,20th Avenue,RapidRide H
G53035415,S863109664,Arterial Rapid Transit,Rapid Transit,216 Street-RapidRide I-Arterial Rapid Transit-planned,1390,1438,4623,1438,1438,1438,4623,-122.19709,47.40823,at grade,planned,,216 Street,RapidRide I
G53040840,S3005278769,Bus Rapid Transit,Rapid Transit,216th Street-Swift Blue Line-Bus Rapid Transit-existing,792,7918,8313,9677,9674,8797,12707,-122.32919,47.80319,at grade,existing,2009,216th Street,Swift Blue Line
G53003180,S156305493,Arterial Rapid Transit,Rapid Transit,22 Street-RapidRide I-Arterial Rapid Transit-planned,1204,3347,3625,5722,6435,3953,9427,-122.22153,47.32646,at grade,planned,,22 Street,RapidRide I
G53047490,S49014145,Light Rail,Light Rail,220th Street-Red Line (Lynnwood Link)-Light Rail-uc,897,14756,14943,21531,14756,19546,25200,-122.31634,47.79898,highway,uc,,220th Street,Red Line (Lynnwood Link)
G53035415,S863107521,Arterial Rapid Transit,Rapid Transit,224 Street-RapidRide I-Arterial Rapid Transit-planned,2455,2487,4716,2703,2487,2537,4932,-122.19934,47.40143,at grade,planned,,224 Street,RapidRide I
G53035415,S863120589,Arterial Rapid Transit,Rapid Transit,228 Street-RapidRide I-Arterial Rapid Transit-planned,1277,1335,4332,1335,1335,1335,4332,-122.20226,47.39738,at grade,planned,,228 Street,RapidRide I
G53063000,S910811459,Bus Rapid Transit,Rapid Transit,22nd Avenue-Madison RapidRide G-Bus Rapid Transit-proposed,8658,12276,12825,17213,12276,13840,18369,-122.30357,47.61849,at grade,proposed,,22nd Avenue,Madison RapidRide G
G53035415,S863108641,Arterial Rapid Transit,Rapid Transit,235 Street-RapidRide I-Arterial Rapid Transit-planned,2412,2467,4724,2551,2467,3337,5608,-122.20222,47.39092,at grade,planned,,235 Street,RapidRide I
G53020750,S3005278707,Bus Rapid Transit,Rapid Transit,236th Street-Swift Blue Line-Bus Rapid Transit-existing,1200,8420,11045,13657,8420,8817,16679,-122.34221,47.78514,at grade,existing,2009,236th Street,Swift Blue Line
G53062288,S2176455293,Bus Rapid Transit,Rapid Transit,24 Avenue S-RapidRide F-Bus Rapid Transit-existing,155,156,621,156,156,156,621,-122.30288,47.46512,at grade,existing,2014,24 Avenue S,RapidRide F
G53035415,S863111683,Arterial Rapid Transit,Rapid Transit,240 Street-RapidRide I-Arterial Rapid Transit-planned,2386,2847,3706,3392,2847,4061,5037,-122.20224,47.38692,at grade,planned,,240 Street,RapidRide I
